"","id","target","contract","gender","car","n_child","income","credit","loan","price","job_stat","studies","family","house","age","job_duration","occupation","job_type","n_enquiries","companion"
"1",1,"payed","Revolving loans","M","Y",0,135000,427500,21375,427500,"Working","Secondary education","Married","apartment",50,11.7424657534247,"Laborers","Self-employed",0,"Unaccompan."
"2",2,"payed","Cash loans","F","N",2,198000,641173.5,23157,553500,"Commer. Assoc.","Secondary education","Married","apartment",47,2.1041095890411,"Private ser.","Culture and Services",0,"Unaccompan."
"3",3,"payed","Cash loans","M","Y",1,360000,579195,27994.5,468000,"State servant","Higher education","Married","apartment",36,14.758904109589,"Tech Staff","Transport",0,"Partner"
"4",4,"payed","Cash loans","F","N",0,157500,544491,16047,454500,"Working","Secondary education","Married","apartment",49,13.7671232876712,"Medic stf","Medicine",0,"Family"
"5",5,"payed","Cash loans","M","Y",1,108000,912240,30276,787500,"Commer. Assoc.","Secondary education","Married","apartment",48,7.94246575342466,"Service Staff","Culture and Services",0,"Partner"
"6",6,"payed","Cash loans","F","Y",0,225000,1345500,39469.5,1345500,"Commer. Assoc.","Higher education","Married","apartment",42,10.6301369863014,"Occupation_Unknown","Business",1,"Unaccompan."
"7",7,"overdue","Cash loans","M","Y",1,112500,284400,22599,225000,"Working","Secondary education","Married","apartment",37,0.413698630136986,"Service Staff","Business",0,"Partner"
"8",8,"payed","Cash loans","M","N",0,112500,284400,20740.5,225000,"Working","Secondary education","Married","apartment",29,8.72876712328767,"Occupation_Unknown","Business",1,"Unaccompan."
"9",9,"payed","Cash loans","F","Y",0,180000,1395000,36927,1395000,"Commer. Assoc.","Secondary education","Married","apartment",36,0.589041095890411,"Laborers","Business",0,"Unaccompan."
"10",10,"payed","Cash loans","F","N",0,157500,284400,14724,225000,"Working","Secondary education","Married","apartment",37,2.48767123287671,"Laborers","Business",0,"Family"
"11",11,"payed","Cash loans","F","N",0,157500,238500,19120.5,238500,"Commer. Assoc.","Secondary education","Married","apartment",33,8.43287671232877,"Laborers","Business",0,"Unaccompan."
"12",12,"overdue","Cash loans","F","N",0,202500,1210500,39046.5,1210500,"Commer. Assoc.","Secondary education","Married","apartment",40,0.652054794520548,"Occupation_Unknown","Business",0,"Family"
"13",13,"payed","Cash loans","F","N",0,112500,819432,23958,684000,"Working","Secondary education","Widow","apartment",64,9.11232876712329,"Sales staff","Business",0,"Other_companion"
"14",14,"payed","Cash loans","M","N",0,90000,161730,7254,135000,"Working","Secondary education","Married","apartment",57,7.3041095890411,"Laborers","Business",1,"Family"
"15",15,"payed","Cash loans","M","N",0,135000,525735,42282,450000,"Commer. Assoc.","Secondary education","single","apartment",45,4.66027397260274,"Occupation_Unknown","Self-employed",0,"Unaccompan."
"16",16,"payed","Cash loans","F","N",1,135000,450000,47385,450000,"Working","Higher education","Married","apartment",33,0.484931506849315,"Laborers","Business",0,"Unaccompan."
"17",17,"payed","Cash loans","F","Y",2,270000,1293502.5,37948.5,1129500,"State servant","Higher education","Married","apartment",34,0.893150684931507,"Administrative Staff","Government and Military",0,"Family"
"18",18,"payed","Cash loans","F","N",1,270000,855000,30289.5,855000,"Commer. Assoc.","Secondary education","divorce","apartment",34,2.28493150684932,"Managers","Transport",1,"Unaccompan."
"19",19,"payed","Cash loans","M","Y",0,292500,450000,34825.5,450000,"State servant","Higher education","single","With parents",33,10.6328767123288,"Managers","Government and Military",0,"Unaccompan."
"20",20,"payed","Cash loans","M","Y",0,135000,208512,24745.5,180000,"Working","Secondary education","single","With parents",22,3.66027397260274,"Laborers","Business",0,"Unaccompan."
"21",21,"payed","Cash loans","F","Y",0,112500,485190,23341.5,405000,"Pensioner","Secondary education","Widow","apartment",62,8.23013698630137,"Occupation_Unknown","Jobtype_Unknown",1,"Unaccompan."
"22",22,"payed","Cash loans","F","Y",0,157500,1557103.5,59440.5,1453500,"Commer. Assoc.","Higher education","Married","apartment",43,13.9479452054795,"Private ser.","Culture and Services",0,"Unaccompan."
"23",23,"payed","Cash loans","F","N",0,90000,9e+05,25794,9e+05,"Commer. Assoc.","Higher education","Married","apartment",31,5.51780821917808,"Sales staff","Self-employed",0,"Unaccompan."
"24",24,"payed","Cash loans","F","Y",0,360000,2013840,53253,1800000,"Pensioner","Higher education","Widow","apartment",55,9.61369863013699,"Occupation_Unknown","Jobtype_Unknown",0,"Unaccompan."
"25",25,"payed","Revolving loans","F","Y",0,225000,180000,9000,180000,"Working","Higher education","single","apartment",23,3.29315068493151,"Core staff","Business",0,"Unaccompan."
"26",26,"payed","Cash loans","F","N",0,378000,1288350,37800,1125000,"State servant","Secondary education","divorce","apartment",55,17.1671232876712,"Administrative Staff","Culture and Services",11,"Unaccompan."
"27",27,"payed","Revolving loans","F","N",3,180000,360000,18000,360000,"Working","Higher education","Married","apartment",41,4.34520547945205,"Administrative Staff","Culture and Services",0,"Unaccompan."
"28",28,"payed","Cash loans","M","N",0,180000,528633,25560,472500,"Commer. Assoc.","Secondary education","single","apartment",36,0.879452054794521,"Occupation_Unknown","Business",1,"Unaccompan."
"29",29,"payed","Cash loans","F","Y",2,135000,191880,19791,180000,"Working","Secondary education","Married","apartment",47,1.92328767123288,"Chef","Self-employed",0,"Unaccompan."
"30",30,"payed","Cash loans","F","N",0,81000,225000,10489.5,225000,"Commer. Assoc.","Secondary education","single","apartment",25,4.57534246575342,"Sales staff","Real Estate and Trade",0,"Unaccompan."
"31",31,"payed","Cash loans","M","N",0,64080,284400,16011,225000,"Pensioner","Secondary education","Married","apartment",65,6.55616438356164,"Occupation_Unknown","Jobtype_Unknown",0,"Partner"
"32",32,"payed","Revolving loans","F","N",0,81000,270000,13500,270000,"Working","Higher education","Married","apartment",50,19.3369863013699,"Core staff","Culture and Services",0,"Unaccompan."
"33",33,"payed","Cash loans","M","N",0,157500,904500,46075.5,904500,"Working","Secondary education","Married","apartment",54,28.041095890411,"Service Staff","Culture and Services",0,"Unaccompan."
"34",34,"payed","Cash loans","F","N",0,90000,201474,19062,189000,"Pensioner","Secondary education","Married","apartment",68,3.07123287671233,"Occupation_Unknown","Jobtype_Unknown",0,"Unaccompan."
"35",35,"payed","Cash loans","F","N",0,108000,314100,12586.5,225000,"Pensioner","Secondary education","Widow","apartment",57,4.7013698630137,"Occupation_Unknown","Jobtype_Unknown",0,"Unaccompan."
"36",36,"payed","Cash loans","M","N",1,180000,169614,11601,121500,"Working","Low education","Married","Municipal apart.",27,5.22739726027397,"Occupation_Unknown","Culture and Services",2,"Unaccompan."
"37",37,"payed","Cash loans","F","N",0,67500,787131,26145,679500,"Pensioner","Secondary education","Married","apartment",55,9.61369863013699,"Occupation_Unknown","Jobtype_Unknown",0,"Other_companion"
"38",38,"payed","Cash loans","F","N",0,90000,447768,35505,405000,"Working","Secondary education","Married","apartment",52,5.55068493150685,"Sales staff","Self-employed",0,"Unaccompan."
"39",39,"payed","Revolving loans","M","N",0,180000,270000,13500,270000,"Working","Secondary education","Married","apartment",53,0.876712328767123,"Service Staff","Culture and Services",0,"Unaccompan."
"40",40,"payed","Cash loans","F","N",2,112500,450000,23107.5,450000,"Working","Secondary education","Married","apartment",29,1.47123287671233,"Chef","Culture and Services",0,"Unaccompan."
"41",41,"payed","Cash loans","M","Y",1,315000,1024290,29484,855000,"Commer. Assoc.","Higher education","divorce","apartment",30,7.06849315068493,"Managers","Business",0,"Unaccompan."
"42",42,"payed","Cash loans","F","N",0,157500,203760,13266,180000,"Working","Low education","single","apartment",25,3.27945205479452,"Realty agents","Business",1,"Unaccompan."
"43",43,"payed","Cash loans","M","Y",3,90000,225000,11650.5,225000,"Commer. Assoc.","Secondary education","Married","apartment",31,8.75890410958904,"Sales staff","Self-employed",0,"Unaccompan."
"44",44,"payed","Cash loans","F","N",0,171000,1047771,37764,904500,"Working","Secondary education","Married","apartment",42,1.65205479452055,"Security","Transport",0,"Family"
"45",45,"payed","Cash loans","F","N",0,90000,1078200,34911,9e+05,"Working","Secondary education","Married","apartment",54,8.0986301369863,"Chef","Medicine",1,"Unaccompan."
"46",46,"overdue","Revolving loans","F","N",1,135000,180000,9000,180000,"Working","Secondary education","Married","apartment",32,3.71780821917808,"Sales staff","Real Estate and Trade",0,"Unaccompan."
"47",47,"payed","Cash loans","F","N",0,67500,283419,10813.5,234000,"Pensioner","Secondary education","Widow","apartment",65,20.6520547945205,"Occupation_Unknown","Jobtype_Unknown",0,"Unaccompan."
"48",48,"payed","Cash loans","M","Y",1,90000,412942.5,27724.5,373500,"Working","Secondary education","single","apartment",45,1.24109589041096,"Laborers","Construction",0,"Unaccompan."
"49",49,"overdue","Cash loans","M","Y",0,180000,592560,31153.5,450000,"Working","Secondary education","Married","apartment",61,2.02739726027397,"Security","Housing",0,"Unaccompan."
"50",50,"payed","Cash loans","F","N",1,315000,774000,39649.5,774000,"Commer. Assoc.","Secondary education","divorce","Municipal apart.",51,5.04657534246575,"Service Staff","Business",0,"Unaccompan."
"51",51,"overdue","Cash loans","F","N",0,90000,495216,20169,427500,"Pensioner","Secondary education","Widow","apartment",63,15.2575342465753,"Occupation_Unknown","Jobtype_Unknown",0,"Unaccompan."
"52",52,"payed","Cash loans","M","Y",0,315000,229500,23643,229500,"Working","Secondary education","Married","apartment",39,1.07945205479452,"Laborers","Government and Military",1,"Unaccompan."
"53",53,"payed","Cash loans","F","N",0,81000,544491,16047,454500,"Pensioner","Secondary education","Married","Rented apart.",49,7.07123287671233,"Occupation_Unknown","Jobtype_Unknown",0,"Unaccompan."
"54",54,"payed","Cash loans","F","N",0,72000,269550,11871,225000,"Working","Secondary education","Married","apartment",50,9.76986301369863,"Sales staff","Business",0,"Unaccompan."
