"SK_ID_CURR","TARGET","NAME_CONTRACT_TYPE","CODE_GENDER","FLAG_OWN_CAR","CNT_CHILDREN","AMT_INCOME_TOTAL","AMT_CREDIT","AMT_ANNUITY","AMT_GOODS_PRICE","NAME_INCOME_TYPE","NAME_EDUCATION_TYPE","NAME_FAMILY_STATUS","NAME_HOUSING_TYPE","DAYS_BIRTH","DAYS_EMPLOYED","OCCUPATION_TYPE","ORGANIZATION_TYPE","AMT_REQ_CREDIT_BUREAU_MON","NAME_TYPE_SUITE"
1,0,"Revolving loans","M","Y",0,135000,427500,21375,427500,"Working","Secondary / secondary special","Married","House / apartment",-18252,-4286,"Laborers","Self-employed",NA,"Unaccompanied"
2,0,"Cash loans","F","N",2,198000,641173.5,23157,553500,"Commercial associate","Secondary / secondary special","Married","House / apartment",-17199,-768,"Private service staff","Other",0,"Unaccompanied"
3,0,"Cash loans","M","Y",1,360000,579195,27994.5,468000,"State servant","Higher education","Civil marriage","House / apartment",-13379,-5387,"High skill tech staff","Transport: type 2",0,"Spouse, partner"
4,0,"Cash loans","F","N",0,157500,544491,16047,454500,"Working","Secondary / secondary special","Married","House / apartment",-17947,-5025,"Medicine staff","Medicine",0,"Family"
5,0,"Cash loans","M","Y",1,108000,912240,30276,787500,"Commercial associate","Secondary / secondary special","Married","House / apartment",-17850,-2899,"Drivers","Industry: type 3",0,"Spouse, partner"
6,0,"Cash loans","F","Y",0,225000,1345500,39469.5,1345500,"Commercial associate","Higher education","Married","House / apartment",-15601,-3880,"","Business Entity Type 2",1,"Unaccompanied"
7,1,"Cash loans","M","Y",1,112500,284400,22599,225000,"Working","Secondary / secondary special","Married","House / apartment",-13715,-151,"Drivers","Business Entity Type 3",0,"Spouse, partner"
8,0,"Cash loans","M","N",0,112500,284400,20740.5,225000,"Working","Secondary / secondary special","Married","House / apartment",-10936,-3186,"","Business Entity Type 3",NA,"Unaccompanied"
9,0,"Cash loans","F","Y",0,180000,1395000,36927,1395000,"Commercial associate","Secondary / secondary special","Married","House / apartment",-13162,-215,"Laborers","Business Entity Type 3",0,"Unaccompanied"
10,0,"Cash loans","F","N",0,157500,284400,14724,225000,"Working","Secondary / secondary special","Married","House / apartment",-13509,-908,"Laborers","Business Entity Type 3",0,"Family"
11,0,"Cash loans","F","N",0,157500,238500,19120.5,238500,"Commercial associate","Secondary / secondary special","Married","House / apartment",-12265,-3078,"Laborers","Business Entity Type 3",0,"Unaccompanied"
12,1,"Cash loans","F","N",0,202500,1210500,39046.5,1210500,"Commercial associate","Secondary / secondary special","Civil marriage","House / apartment",-14702,-238,"","Business Entity Type 3",0,"Family"
13,0,"Cash loans","F","N",0,112500,819432,23958,684000,"Working","Secondary / secondary special","Widow","House / apartment",-23643,-3326,"Sales staff","Business Entity Type 2",NA,"Other_B"
14,0,"Cash loans","M","N",0,90000,161730,7254,135000,"Working","Secondary / secondary special","Married","House / apartment",-20891,-2666,"Laborers","Business Entity Type 2",1,"Family"
15,0,"Cash loans","M","N",0,135000,525735,42282,450000,"Commercial associate","Secondary / secondary special","Single / not married","House / apartment",-16475,-1701,"","Self-employed",0,"Unaccompanied"
16,0,"Cash loans","F","N",1,135000,450000,47385,450000,"Working","Higher education","Married","House / apartment",-12170,-177,"Laborers","Business Entity Type 3",0,"Unaccompanied"
17,0,"Cash loans","F","Y",2,270000,1293502.5,37948.5,1129500,"State servant","Higher education","Married","House / apartment",-12438,-326,"Accountants","Government",0,"Family"
18,0,"Cash loans","F","N",1,270000,855000,30289.5,855000,"Commercial associate","Secondary / secondary special","Separated","House / apartment",-12718,-834,"Managers","Transport: type 4",1,"Unaccompanied"
